id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose
sdv-id-IaQmew,15252.0,15162.0,14990.427525909066, 36 months,7.98,504.88,A,A5,10+ years,MORTGAGE,56809.94,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-bGdNMB,2111.0,5458.0,4155.028256765107, 36 months,12.05,107.3,B,C2,1 year,MORTGAGE,55098.2,Source Verified,Fully Paid,n,medical
sdv-id-ZOLIGC,9678.0,9010.0,9794.176642493629, 60 months,18.91,352.56,D,D2,9 years,OWN,70585.36,Source Verified,Fully Paid,n,credit_card
sdv-id-AvWLzg,35014.0,35038.0,27908.83946488755, 60 months,12.54,760.83,C,C2,6 years,MORTGAGE,89664.98,Source Verified,Fully Paid,n,credit_card
sdv-id-dcmokp,9771.0,8607.0,9984.37967392878, 36 months,6.39,269.81,A,A1,10+ years,MORTGAGE,27019.61,Not Verified,Current,n,debt_consolidation
sdv-id-OKhfXe,1234.0,1567.0,2095.852206883246, 36 months,14.49,214.88,C,C1,2 years,MORTGAGE,46038.12,Source Verified,Fully Paid,n,other
sdv-id-CUHyrS,20814.0,19782.0,19304.358966234166, 60 months,16.35,567.7,C,G3,4 years,RENT,43306.7,Verified,Fully Paid,n,debt_consolidation
sdv-id-ZlyCIF,14584.0,15574.0,14527.76849526772, 60 months,23.67,413.92,E,E1,5 years,MORTGAGE,53082.8,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-MeAXpg,15537.0,16043.0,15836.109670849242, 60 months,11.2,400.62,B,B1,10+ years,OWN,98087.02,Not Verified,Charged Off,n,house
sdv-id-NhWkZl,18394.0,18874.0,19786.257098622158, 36 months,10.83,96.85,B,B5,10+ years,MORTGAGE,85137.03,Verified,Fully Paid,n,debt_consolidation
sdv-id-BqKEXW,16332.0,15972.0,16490.53928155367, 60 months,13.26,364.98,C,C1,9 years,MORTGAGE,74711.54,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-RluUVr,24285.0,24185.0,24770.866731804366, 36 months,11.84,657.76,B,B3,6 years,RENT,80901.58,Not Verified,Current,n,credit_card
sdv-id-CxFGTr,39838.0,39972.0,39912.366824480094, 36 months,7.55,1218.28,A,A5,7 years,OWN,300300.45,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-RrIsKs,30546.0,29175.0,30264.427284474605, 36 months,16.27,816.9,C,C3,10+ years,OWN,13343.73,Not Verified,Current,n,debt_consolidation
sdv-id-YTiAtw,11834.0,11627.0,12104.318020661833, 36 months,18.39,310.38,B,B5,6 years,RENT,40216.0,Source Verified,Charged Off,n,credit_card
sdv-id-RBTcFC,33965.0,34172.0,29413.09346451129, 60 months,12.35,775.66,C,C3,10+ years,MORTGAGE,60762.27,Source Verified,Fully Paid,n,small_business
sdv-id-FJzfho,24616.0,25218.0,24017.30131624787, 60 months,18.35,939.93,D,D1,8 years,MORTGAGE,120886.39,Not Verified,Fully Paid,n,home_improvement
sdv-id-xieFlH,6983.0,7758.0,8840.731884372148, 36 months,7.45,160.09,A,A3,10+ years,OWN,66798.09,Not Verified,Current,n,debt_consolidation
sdv-id-aVzMYE,10323.0,12812.0,10274.998947561682, 36 months,11.14,244.48,B,B4,< 1 year,MORTGAGE,341857.75,Verified,Late (31-120 days),y,credit_card
sdv-id-esRkSL,7192.0,6101.0,5574.138226763912, 60 months,15.05,307.5,C,C5,6 years,MORTGAGE,53411.09,Source Verified,Fully Paid,n,home_improvement
sdv-id-TtZeUg,38549.0,5195.0,37034.78680645525, 36 months,5.76,1117.15,A,A1,10+ years,OWN,68865.85,Source Verified,Current,n,credit_card
sdv-id-bfxvhe,17407.0,17927.0,17726.304740366024, 36 months,7.04,530.49,A,A1,2 years,MORTGAGE,66172.46,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-ywemaV,9991.0,7369.0,10135.467546405875, 36 months,7.31,273.5,A,A4,2 years,OWN,54136.86,Not Verified,Current,n,debt_consolidation
sdv-id-utCQDI,9070.0,10600.0,10248.98079316968, 36 months,10.69,326.6,B,B5,1 year,MORTGAGE,56971.01,Source Verified,Fully Paid,n,major_purchase
sdv-id-WfMKpZ,19790.0,20220.0,21081.949354976197, 60 months,24.35,762.78,F,F3,5 years,MORTGAGE,60863.29,Verified,Fully Paid,n,debt_consolidation
sdv-id-tmVYpa,30503.0,19783.0,30818.2918874352, 60 months,30.44,844.99,F,F1,10+ years,RENT,61482.18,Verified,Fully Paid,n,debt_consolidation
sdv-id-DRDcaN,1762.0,2176.0,2448.9895664103105, 36 months,17.01,74.21,C,C5,2 years,MORTGAGE,45287.66,Not Verified,In Grace Period,n,vacation
sdv-id-dJrZcc,4555.0,5573.0,4484.919764324321, 36 months,14.19,185.64,C,C3,5 years,MORTGAGE,59018.5,Not Verified,Fully Paid,n,home_improvement
sdv-id-LHDwdO,11853.0,12084.0,12020.310184366204, 60 months,19.11,294.49,E,E1,10+ years,OWN,47576.2,Not Verified,Charged Off,n,home_improvement
sdv-id-BzfWyJ,6618.0,4409.0,3959.2457527141632, 36 months,20.42,236.14,E,E3,1 year,RENT,48924.74,Not Verified,Fully Paid,n,moving
sdv-id-lKweqJ,24947.0,24414.0,24195.732492529434, 60 months,15.05,263.83,C,C3,1 year,MORTGAGE,78767.66,Source Verified,Current,n,credit_card
sdv-id-zGShYu,14690.0,15703.0,15732.66752005442, 60 months,9.99,413.02,B,B4,1 year,MORTGAGE,173558.72,Not Verified,Late (16-30 days),n,debt_consolidation
sdv-id-pAerZX,10119.0,9087.0,10218.014817652222, 36 months,14.42,251.74,C,C2,10+ years,ANY,50192.59,Not Verified,Current,n,debt_consolidation
sdv-id-opOPxZ,12207.0,11521.0,12146.63054276898, 36 months,9.17,361.45,B,B1,10+ years,MORTGAGE,86727.05,Source Verified,Charged Off,n,credit_card
sdv-id-MhjGhJ,20813.0,20669.0,19558.008106280133, 36 months,8.37,614.54,A,A4,10+ years,RENT,54246.23,Not Verified,Current,n,credit_card
sdv-id-Wzorue,23810.0,24181.0,25340.791712422404, 36 months,17.26,989.39,D,D1,10+ years,MORTGAGE,87653.15,Not Verified,Current,n,home_improvement
sdv-id-oStywv,6685.0,5187.0,6650.639170340079, 36 months,15.71,169.72,C,C3,3 years,RENT,66961.36,Source Verified,Fully Paid,n,other
sdv-id-wYmFQY,39408.0,40000.0,37414.703064260975, 36 months,13.86,761.8,B,B3,8 years,MORTGAGE,112312.45,Source Verified,Fully Paid,n,debt_consolidation
sdv-id-AYJlts,12267.0,11151.0,7230.38588954658, 36 months,8.09,254.79,A,A4,4 years,MORTGAGE,106576.57,Source Verified,Fully Paid,n,car
sdv-id-Zuciam,15464.0,15632.0,16712.1299918756, 36 months,17.84,241.38,C,C2,2 years,OWN,33080.36,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-Cwiyco,5814.0,5045.0,5799.216025920267, 36 months,25.34,314.93,E,E1,4 years,MORTGAGE,59996.73,Not Verified,Fully Paid,n,major_purchase
sdv-id-PiEUMp,3236.0,2242.0,3035.9304553465477, 36 months,15.16,175.61,C,C5,9 years,RENT,44172.68,Source Verified,Charged Off,n,vacation
sdv-id-NvpuCX,3647.0,2640.0,7996.331042128393, 36 months,15.42,201.59,C,C5,8 years,OWN,16285.98,Verified,Current,n,other
sdv-id-PkdzRF,15090.0,2187.0,14271.652677366796, 36 months,16.71,81.73,D,D2,10+ years,MORTGAGE,65062.95,Not Verified,Does not meet the credit policy. Status:Charged Off,n,debt_consolidation
sdv-id-VArgIC,1845.0,1920.0,1852.3385803648644, 36 months,13.1,126.26,C,C3,2 years,RENT,38078.51,Source Verified,Current,n,debt_consolidation
sdv-id-EEhmoH,18476.0,18255.0,3957.2291542679295, 36 months,29.51,450.74,F,F4,10+ years,RENT,56895.26,Verified,Fully Paid,n,debt_consolidation
sdv-id-ZUgbLF,15807.0,20335.0,20206.468285530354, 60 months,17.69,415.55,C,C5,2 years,MORTGAGE,67503.57,Not Verified,Charged Off,n,debt_consolidation
sdv-id-bRfBNP,3884.0,4115.0,6282.068966764018, 36 months,10.44,173.7,B,B1,7 years,MORTGAGE,33590.43,Source Verified,Current,n,debt_consolidation
sdv-id-ooajKE,19552.0,19057.0,20227.683432951722, 60 months,17.14,504.53,B,B4,10+ years,MORTGAGE,115818.67,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-sBbEme,18657.0,19665.0,20668.401792608514, 36 months,6.39,365.28,A,A1,10+ years,MORTGAGE,46295.7,Not Verified,Fully Paid,n,credit_card
sdv-id-QjIxjf,27285.0,27757.0,28366.212624061238, 60 months,25.24,864.57,F,F1,2 years,MORTGAGE,62560.33,Source Verified,Late (31-120 days),n,debt_consolidation
sdv-id-JUcEtQ,6105.0,8306.0,4482.885084849217, 36 months,7.09,237.85,B,B1,10+ years,MORTGAGE,78319.81,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-nUHEzW,15276.0,15154.0,15694.834460048454, 36 months,19.36,484.68,C,B3,6 years,OWN,20799.09,Not Verified,Charged Off,n,debt_consolidation
sdv-id-YgfYZJ,26752.0,28395.0,27332.236095368266, 60 months,18.94,902.91,E,E2,8 years,OWN,31191.06,Not Verified,Charged Off,n,debt_consolidation
sdv-id-lMPZJl,10043.0,10368.0,10008.782631190075, 60 months,12.02,313.93,B,B3,1 year,RENT,63022.27,Verified,Charged Off,n,credit_card
sdv-id-tjVTtZ,18856.0,18190.0,20129.523593881288, 60 months,16.74,603.36,C,C5,10+ years,MORTGAGE,63009.62,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-vgsivL,19350.0,21391.0,19470.8661195463, 36 months,14.92,507.47,C,C2,10+ years,MORTGAGE,32794.75,Verified,Charged Off,n,debt_consolidation
sdv-id-QzQnMA,7536.0,5283.0,3406.9571556072983, 36 months,19.2,199.89,D,D4,1 year,RENT,72441.3,Verified,Charged Off,n,wedding
sdv-id-qZqSoU,11901.0,8132.0,7121.866464081347, 36 months,9.78,309.19,B,B4,8 years,MORTGAGE,152034.04,Not Verified,Current,n,debt_consolidation
sdv-id-iWZKkp,7720.0,4468.0,4902.111719327381, 36 months,9.78,232.48,B,B2,7 years,RENT,78172.85,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-peBxti,6888.0,7134.0,5947.520597287419, 36 months,20.43,210.26,D,D5,2 years,RENT,60404.73,Not Verified,In Grace Period,n,major_purchase
sdv-id-ihRayC,33347.0,34710.0,29856.354720541232, 36 months,18.49,755.47,D,D4,5 years,MORTGAGE,123131.87,Verified,Fully Paid,n,debt_consolidation
sdv-id-ZfFLJx,6031.0,5717.0,3291.770292845395, 36 months,11.62,205.61,C,C2,10+ years,RENT,36762.73,Verified,Current,n,home_improvement
sdv-id-uIZUZJ,1000.0,1714.0,535.2145489966451, 36 months,7.22,93.35,B,B1,8 years,RENT,99057.3,Not Verified,Fully Paid,n,vacation
sdv-id-uzLtrK,12231.0,11846.0,7724.584600883445, 36 months,12.0,284.91,B,B5,10+ years,RENT,73680.94,Source Verified,Charged Off,n,car
sdv-id-HDbKuw,19741.0,19127.0,19075.381470973876, 36 months,11.15,495.41,B,B5,1 year,OWN,35970.22,Source Verified,Fully Paid,n,debt_consolidation
sdv-id-ESNIAc,15196.0,15785.0,14700.236243451112, 60 months,12.3,370.5,B,B5,10+ years,MORTGAGE,50921.22,Not Verified,Charged Off,n,debt_consolidation
sdv-id-uMTvnp,12081.0,12996.0,11717.549966665489, 60 months,20.26,352.38,B,B5,1 year,OWN,71268.22,Not Verified,Charged Off,n,debt_consolidation
sdv-id-HVvWxm,18004.0,18518.0,18208.674971879696, 36 months,15.54,511.91,C,C2,6 years,OWN,47259.68,Source Verified,Fully Paid,n,debt_consolidation
sdv-id-ZwtuSn,14659.0,15566.0,14148.297218258513, 36 months,19.16,513.76,E,E1,5 years,OWN,95125.63,Source Verified,Fully Paid,n,renewable_energy
sdv-id-MgmJxH,4812.0,8540.0,9871.375236011809, 36 months,11.36,283.83,B,B5,4 years,RENT,53714.55,Verified,Current,n,other
sdv-id-sVtyOu,11209.0,11825.0,11358.028173125942, 60 months,18.43,502.38,B,B4,7 years,MORTGAGE,49550.63,Not Verified,Charged Off,n,debt_consolidation
sdv-id-lWKwUr,15728.0,6190.0,7416.305080986068, 36 months,13.85,165.69,C,C3,10+ years,MORTGAGE,73857.87,Source Verified,Current,n,home_improvement
sdv-id-KqXOeP,19611.0,19869.0,20534.39583101088, 60 months,16.58,538.02,E,C5,3 years,MORTGAGE,50047.45,Source Verified,Current,n,debt_consolidation
sdv-id-gEYykc,11650.0,8638.0,12213.791470128119, 36 months,20.32,318.22,E,E2,2 years,MORTGAGE,42621.71,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-AXCfgA,9081.0,11579.0,9400.955223114255, 36 months,10.13,252.07,B,B1,< 1 year,RENT,32799.97,Not Verified,Current,n,credit_card
sdv-id-VfhBNa,7480.0,10324.0,9836.959332279957, 36 months,5.74,205.38,A,A1,2 years,MORTGAGE,90105.38,Not Verified,Fully Paid,n,major_purchase
sdv-id-lsTSnz,10068.0,9847.0,7316.706511487629, 36 months,10.77,277.54,A,B2,10+ years,OWN,72987.76,Not Verified,Current,n,house
sdv-id-bqYqMO,15587.0,15473.0,4863.920595013684, 36 months,24.76,360.99,F,F3,7 years,RENT,58463.03,Verified,Charged Off,n,debt_consolidation
sdv-id-MJUjjt,13897.0,14974.0,13930.140338151808, 36 months,19.47,503.97,D,D3,4 years,MORTGAGE,55887.57,Not Verified,Fully Paid,n,medical
sdv-id-VcSpin,24956.0,15124.0,29877.924699044353, 36 months,23.72,685.65,E,E3,10+ years,MORTGAGE,115298.16,Not Verified,Charged Off,n,debt_consolidation
sdv-id-qPMtik,3601.0,19031.0,4809.797937242597, 36 months,13.7,411.86,C,C1,8 years,ANY,37158.56,Verified,Current,n,debt_consolidation
sdv-id-MryzNp,21762.0,21556.0,19270.136219830612, 60 months,16.13,776.31,C,C5,9 years,OWN,271893.36,Source Verified,Fully Paid,n,credit_card
sdv-id-rnGZjM,9845.0,9981.0,9856.963434561105, 36 months,12.39,393.58,B,B4,10+ years,MORTGAGE,96048.52,Not Verified,Charged Off,n,credit_card
sdv-id-zLOZTW,18605.0,19635.0,18942.544850332095, 36 months,14.9,617.17,C,C3,6 years,OWN,209393.01,Verified,Current,n,debt_consolidation
sdv-id-TCRkke,5709.0,4221.0,6843.255292792527, 60 months,23.17,284.69,F,F1,8 years,OWN,34096.11,Verified,Charged Off,n,major_purchase
sdv-id-mkdlIZ,15958.0,20013.0,15994.176452994896, 60 months,30.99,308.56,G,G2,10+ years,MORTGAGE,25942.96,Verified,Charged Off,n,debt_consolidation
sdv-id-WTFLzR,33961.0,35185.0,32379.79049889978, 60 months,23.68,1191.22,D,A1,2 years,MORTGAGE,420674.08,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-vgqFzN,15861.0,15316.0,14657.428034150742, 60 months,13.12,412.43,B,B5,10+ years,RENT,53648.22,Not Verified,Fully Paid,n,home_improvement
sdv-id-ApEGRp,22999.0,23797.0,23971.355844788293, 60 months,9.02,865.37,E,E3,10+ years,MORTGAGE,108213.3,Not Verified,Current,n,debt_consolidation
sdv-id-OwCZUj,18007.0,18319.0,17582.81822089159, 60 months,17.93,445.53,B,B4,8 years,MORTGAGE,67811.79,Not Verified,Charged Off,n,debt_consolidation
sdv-id-emZyGT,19642.0,21436.0,19247.72409101565, 36 months,10.46,499.97,B,B4,10+ years,MORTGAGE,198539.34,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-beAKvm,4517.0,4727.0,4099.657259502315, 36 months,19.1,212.95,D,D4,10+ years,MORTGAGE,162909.89,Source Verified,Fully Paid,n,credit_card
sdv-id-vmmtGc,7424.0,40000.0,39467.20987673438, 36 months,7.1,1191.27,A,A3,10+ years,OWN,267148.82,Source Verified,Charged Off,n,debt_consolidation
sdv-id-OYafZE,17292.0,19391.0,18441.688128225636, 36 months,11.49,458.35,B,B2,10+ years,MORTGAGE,51057.67,Not Verified,Current,n,credit_card
sdv-id-OdiKKe,3506.0,4587.0,3714.335410232248, 36 months,19.24,111.74,D,D1,2 years,ANY,34574.56,Not Verified,Fully Paid,n,other
sdv-id-qyOrzH,24779.0,24563.0,24821.465378560286, 36 months,16.95,889.53,D,D1,2 years,MORTGAGE,54349.98,Not Verified,Late (31-120 days),y,debt_consolidation
sdv-id-EjHFPX,11685.0,10189.0,11340.179202803838, 36 months,11.72,301.34,B,B4,6 years,RENT,56693.44,Not Verified,Charged Off,n,debt_consolidation
sdv-id-NPrJFD,34424.0,35198.0,39046.895945781514, 36 months,6.38,1025.58,A,A5,10+ years,MORTGAGE,195729.09,Source Verified,Fully Paid,n,debt_consolidation
sdv-id-LYRzbw,19144.0,19814.0,19583.587748427046, 60 months,9.34,504.44,B,B4,10+ years,MORTGAGE,259375.53,Not Verified,Current,n,debt_consolidation
sdv-id-BLcztG,9970.0,8531.0,9979.742577395426, 36 months,12.85,287.05,D,A3,5 years,OWN,71486.16,Not Verified,Current,n,medical
sdv-id-sMeHss,39431.0,35401.0,38061.73779021554, 36 months,9.86,1216.32,B,B1,10+ years,MORTGAGE,201588.3,Verified,Current,n,home_improvement
sdv-id-NGyRKJ,33883.0,34977.0,33698.74131783529, 36 months,10.17,1201.26,B,B2,10+ years,RENT,284566.55,Not Verified,Current,n,home_improvement
sdv-id-zNyjzo,12374.0,12507.0,12594.055082374278, 36 months,10.87,521.67,B,B5,1 year,RENT,52607.91,Verified,Charged Off,n,debt_consolidation
sdv-id-mvetma,15686.0,15159.0,16538.617302512597, 36 months,11.38,380.28,B,B4,2 years,OWN,63001.12,Verified,Current,n,debt_consolidation
sdv-id-lONjbi,2696.0,3114.0,1863.0537404853255, 36 months,14.15,114.63,C,C3,7 years,OWN,40316.59,Source Verified,Fully Paid,n,other
sdv-id-NofwwI,2889.0,3933.0,6873.137295595691, 60 months,18.6,392.87,D,D4,5 years,RENT,51144.36,Not Verified,Charged Off,n,other
sdv-id-ZknKnB,12315.0,11778.0,12772.20303748509, 36 months,7.93,329.83,A,A5,1 year,MORTGAGE,77805.47,Source Verified,In Grace Period,n,other
sdv-id-EGIPKH,15620.0,40000.0,37304.07966672385, 60 months,12.3,447.14,C,C2,2 years,MORTGAGE,75502.05,Source Verified,Current,n,house
sdv-id-ZlRnQW,24764.0,25210.0,24095.751762456704, 36 months,10.44,708.48,B,B3,10+ years,OWN,102632.3,Not Verified,Current,n,home_improvement
sdv-id-bDSGDB,14861.0,9157.0,9930.868520258187, 36 months,12.23,343.2,B,B3,10+ years,MORTGAGE,78675.27,Verified,Current,n,debt_consolidation
sdv-id-iwGCmu,5809.0,5615.0,5243.185398320355, 36 months,12.65,232.57,B,B3,10+ years,MORTGAGE,40021.01,Verified,Fully Paid,n,debt_consolidation
sdv-id-yOVCyh,5475.0,9999.0,7391.766409190722, 36 months,24.39,242.02,F,F2,10+ years,OWN,30226.96,Verified,Fully Paid,n,debt_consolidation
sdv-id-KvNxmu,24183.0,24437.0,25080.86666286237, 36 months,10.98,868.12,B,B2,10+ years,OWN,97745.66,Not Verified,Late (31-120 days),y,debt_consolidation
sdv-id-hoiqDy,12328.0,10738.0,11688.566293226917, 60 months,16.16,392.92,C,C5,3 years,MORTGAGE,36440.74,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-Lwtxrc,1000.0,3879.0,118.96487798673161, 36 months,18.88,95.88,D,D1,6 years,OWN,24863.38,Verified,Current,n,other
sdv-id-jDyjrR,14459.0,15092.0,14066.89735694661, 60 months,12.81,521.25,C,C1,3 years,MORTGAGE,48551.47,Verified,Fully Paid,n,credit_card
sdv-id-LpKpiH,15153.0,14963.0,14316.465062718064, 36 months,13.08,504.2,B,B4,< 1 year,MORTGAGE,46705.36,Source Verified,Current,n,debt_consolidation
sdv-id-YgfGkV,29189.0,30504.0,28692.529262783766, 60 months,11.42,770.61,B,B1,2 years,RENT,72547.3,Not Verified,Charged Off,n,debt_consolidation
sdv-id-rWTCJK,24484.0,24569.0,25432.93569728929, 60 months,29.01,763.92,F,F3,10+ years,RENT,41689.25,Verified,Fully Paid,n,debt_consolidation
sdv-id-wyyKqY,9258.0,11627.0,9533.846170441868, 36 months,16.63,400.5,D,D4,4 years,RENT,59981.55,Verified,Current,n,debt_consolidation
sdv-id-IgsBMk,19370.0,20572.0,20171.361920811276, 36 months,11.48,456.52,B,B1,< 1 year,OWN,36315.27,Verified,Late (31-120 days),y,debt_consolidation
sdv-id-hOPHub,1932.0,2245.0,1419.5021334574228, 36 months,14.22,55.05,C,C3,10+ years,MORTGAGE,32146.44,Verified,Fully Paid,n,other
sdv-id-vBjJRq,1862.0,3006.0,1442.0268361570643, 36 months,13.4,66.12,B,B4,10+ years,OWN,48134.68,Source Verified,Current,n,debt_consolidation
sdv-id-CfnSac,5167.0,1983.0,2854.5621602058354, 36 months,9.71,56.69,B,B3,2 years,RENT,51660.37,Not Verified,Fully Paid,n,other
sdv-id-kaQiOj,34929.0,35440.0,36614.22359898448, 36 months,13.5,931.53,B,F1,1 year,MORTGAGE,86191.53,Source Verified,Fully Paid,n,car
sdv-id-xunFZu,2947.0,3873.0,2792.6534272336567, 36 months,10.03,201.36,D,B1,10+ years,RENT,68321.57,Verified,Charged Off,n,debt_consolidation
sdv-id-XjUpXZ,40000.0,35043.0,38647.205514117406, 36 months,12.86,814.59,C,C2,10+ years,MORTGAGE,274736.82,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-vgHEAz,12205.0,12806.0,12053.101534490808, 60 months,13.76,295.26,C,C3,5 years,MORTGAGE,33233.68,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-ZOIpAT,8040.0,10182.0,6610.124863868048, 36 months,14.05,270.23,C,G1,10+ years,MORTGAGE,65113.34,Verified,Fully Paid,n,credit_card
sdv-id-YodUJw,15986.0,10980.0,12474.343512000813, 36 months,20.22,431.93,C,C5,4 years,RENT,49977.38,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-qKtYXz,8268.0,6047.0,10396.190733967325, 36 months,6.96,139.11,A,A3,7 years,MORTGAGE,60218.85,Not Verified,Current,n,credit_card
sdv-id-AESjKg,34618.0,34973.0,34111.638776472144, 60 months,25.18,1232.22,E,E4,10+ years,MORTGAGE,172926.67,Verified,Fully Paid,n,debt_consolidation
sdv-id-AiwRfy,8684.0,8942.0,7931.450211848158, 36 months,10.76,244.74,B,B3,3 years,RENT,72346.77,Not Verified,Fully Paid,n,credit_card
sdv-id-eoDGjp,14824.0,14702.0,14728.558853075116, 36 months,7.94,530.56,A,A2,9 years,OWN,287602.63,Verified,Late (16-30 days),n,credit_card
sdv-id-gnYJZk,6305.0,5246.0,4838.4261524269705, 36 months,10.34,179.72,B,B2,1 year,RENT,63208.94,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-XCsEre,20963.0,18565.0,20170.95263575918, 36 months,16.55,466.18,C,C5,< 1 year,MORTGAGE,72369.42,Verified,Fully Paid,n,credit_card
sdv-id-nyWFZN,1775.0,1622.0,2096.2836461217794, 36 months,8.4,33.26,A,A4,8 years,RENT,55004.47,Not Verified,In Grace Period,n,medical
sdv-id-eDyCrL,9882.0,10482.0,9938.194195712766, 36 months,10.72,327.9,B,B1,< 1 year,MORTGAGE,48246.16,Source Verified,Fully Paid,n,home_improvement
sdv-id-oGEPAB,6741.0,5518.0,3095.487391445199, 36 months,14.25,300.93,C,C5,2 years,OWN,29444.44,Not Verified,Does not meet the credit policy. Status:Charged Off,n,debt_consolidation
sdv-id-QRWDuG,11959.0,11095.0,11770.209423073902, 36 months,15.37,354.9,C,C5,3 years,RENT,28644.27,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-biSvvr,35058.0,35463.0,36698.39723718626, 36 months,17.36,1286.49,D,D1,8 years,MORTGAGE,259713.5,Verified,Charged Off,n,small_business
sdv-id-zINZVH,33977.0,34966.0,33791.982472027405, 60 months,23.14,864.16,E,E4,10+ years,MORTGAGE,112454.23,Verified,Late (31-120 days),n,debt_consolidation
sdv-id-feLVDQ,7246.0,10755.0,5974.125419962834, 36 months,13.81,280.64,B,B2,10+ years,RENT,53557.63,Not Verified,Current,n,credit_card
sdv-id-WlNfYm,24880.0,24645.0,24972.825103377672, 36 months,12.68,809.29,C,C4,1 year,OWN,86977.7,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-eAPwIX,9961.0,8916.0,9893.935967138672, 36 months,20.68,233.12,D,D2,8 years,MORTGAGE,70242.46,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-dEUtnS,9719.0,9149.0,3946.217429079628, 36 months,11.7,406.18,B,B3,< 1 year,MORTGAGE,62125.45,Verified,Fully Paid,n,credit_card
